plant,pop,watering,inoc,days_to_flower,flower_include,soil_moist_3_7,health_inoc_leaf_3_31,SLA_leaf_area,SLA_dry_leaf_weight,sla
475,arb04,wet,fungus,55,55,29.3,NA,2.574,0.0063,408.5714286
476,arb04,wet,fungus,35,35,27.5,9,NA,NA,NA
477,arb04,wet,fungus,55,55,27.2,NA,2.208,NA,NA
478,arb04,wet,fungus,46,46,23.9,7,NA,NA,NA
479,arb04,wet,fungus,46,46,23.6,NA,3.025,0.0056,540.1785714
480,arb04,wet,fungus,68,68,25.7,NA,NA,NA,NA
481,arb04,wet,fungus,49,49,29.7,NA,2.953,0.008,369.125
482,arb04,wet,fungus,46,46,26.8,6,NA,NA,NA
483,arb04,wet,fungus,55,55,22.8,3,NA,NA,NA
484,arb04,wet,fungus,55,55,21,NA,4.177,0.0087,480.1149425
485,arb04,wet,fungus,68,68,27.5,NA,9.24,0.0238,388.2352941
486,arb04,wet,fungus,49,49,25.7,4,NA,NA,NA
487,arb04,wet,fungus,46,46,39.5,NA,4.358,0.0081,538.0246914
488,arb04,wet,fungus,33,33,31.1,NA,NA,NA,NA
489,arb04,wet,fungus,41,41,26.1,NA,NA,NA,NA
490,arb04,wet,fungus,33,33,31.5,NA,3.657,0.0045,812.6666667
491,arb04,wet,fungus,35,35,28.6,NA,4.418,0.0076,581.3157895
492,arb04,wet,fungus,33,33,28.6,NA,7.016,0.0137,512.1167883
493,arb04,wet,fungus,33,33,28.3,NA,NA,NA,NA
494,arb04,wet,fungus,41,41,28.6,NA,NA,NA,NA
495,arb04,wet,fungus,33,33,25,NA,NA,NA,NA
496,arb04,wet,fungus,41,41,30.4,NA,2.676,0.0054,495.5555556
497,arb04,wet,fungus,41,41,27.9,3,2.415,0.0093,259.6774194
498,arb04,wet,fungus,46,46,27.9,NA,2.014,0.0035,575.4285714
499,arb04,wet,fungus,49,49,32.6,NA,NA,NA,NA
500,arb04,wet,fungus,41,41,29,NA,NA,NA,NA
501,arb04,wet,fungus,46,46,31.1,NA,NA,NA,NA
502,arb04,wet,fungus,46,46,33.3,NA,2.596,0.0048,540.8333333
503,arb04,wet,fungus,41,41,33,NA,NA,NA,NA
504,arb04,wet,fungus,46,46,31.1,NA,2.813,0.0058,485
505,arb04,dry,fungus,68,68,20.3,NA,NA,NA,NA
506,arb04,dry,fungus,60,60,20.4,3,NA,NA,NA
507,arb04,dry,fungus,68,68,21.4,2,NA,NA,NA
508,arb04,dry,fungus,46,46,20.3,3,NA,NA,NA
509,arb04,dry,fungus,49,49,16.7,NA,NA,NA,NA
510,arb04,dry,fungus,58,58,17.4,2,NA,NA,NA
511,arb04,dry,fungus,46,46,17.8,NA,NA,NA,NA
512,arb04,dry,fungus,84,84,25,3,29.646,0.0703,421.7069701
513,arb04,dry,fungus,46,46,23.6,NA,NA,NA,NA
514,arb04,dry,fungus,121,NA,22.8,NA,NA,NA,NA
515,arb04,dry,fungus,38,38,25,NA,NA,NA,NA
516,arb04,dry,fungus,46,46,25,NA,NA,NA,NA
517,arb04,dry,fungus,49,49,26.1,3,NA,NA,NA
518,arb04,dry,fungus,46,46,21.4,NA,NA,NA,NA
519,arb04,dry,fungus,66,66,23.6,NA,NA,NA,NA
520,arb04,dry,fungus,58,58,23.9,2,NA,NA,NA
521,arb04,dry,fungus,55,55,22.5,NA,NA,NA,NA
522,arb04,dry,fungus,58,58,22.1,3,NA,NA,NA
