Species Name,Wing Length,Tail Length
Phyllomyias zeledoni,59.1,44.5
Phylloscartes beckeri,53.8,55.6
Phylloscartes ceciliae,52.7,53.5
Phylloscartes difficilis,52.8,52.8
Phylloscartes flaviventris,48,49
Phylloscartes flavovirens,51.5,50
Phylloscartes gualaquizae,49.8,48.6
Phylloscartes kronei,50.6,51.3
Phylloscartes nigrifrons,58.9,61.2
Phylloscartes oustaleti,56.5,56.8
Phylloscartes parkeri,52,47.5
Phylloscartes paulista,49.1,44.5
Phylloscartes roquettei,48.5,49
Phylloscartes superciliaris,53.6,50.6
Phylloscartes sylviolus,48.9,51.4
Phylloscartes ventralis,53.1,52.6
Phylloscartes virescens,53.3,51.7
Piprites chloris,66.2,50.3
Piprites griseiceps,63.8,47.8
Piprites pileata,72,50.4
Pitangus sulphuratus,111.9,84.8
Platyrinchus albogularis,53.6,30.2
Platyrinchus cancrominus,56.8,28
Platyrinchus coronatus,54.4,24.5
Platyrinchus flavigularis,60.2,32.6
Platyrinchus leucoryphus,76.1,46.2
Platyrinchus mystaceus,55,29.9
Platyrinchus platyrhynchos,62.3,32
Platyrinchus saturatus,55,29.6
Poecilotriccus albifacies,45.2,34.6
Poecilotriccus calopterus,47.9,30
Poecilotriccus capitalis,48.5,30.8
Poecilotriccus fumifrons,43.8,33.9
Poecilotriccus latirostris,47.7,33.1
Poecilotriccus luluae,46.8,38.8
Poecilotriccus plumbeiceps,42.5,36.2
Poecilotriccus pulchellus,46.7,32.8
Poecilotriccus ruficeps,46.5,34.7
Poecilotriccus russatus,48.2,32.2
Poecilotriccus senex,44.5,35.4
Poecilotriccus sylvia,46.8,32.2
Pogonotriccus chapmani,57,55.2
Pogonotriccus eximius,53,48.5
Pogonotriccus lanyoni,50.5,45.5
Pogonotriccus ophthalmicus,59.6,56.6
Pogonotriccus orbitalis,51.5,43.5
Pogonotriccus poecilotis,57.4,52.3
Pogonotriccus venezuelanus,60,54.5
Polioxolmis rufipennis,127.2,89.4
Polystictus pectoralis,44.8,38.8
Polystictus superciliaris,43.6,43.9
