Species name,Body Mass (g),Brain Mass (g)
Pyrrhula pyrrhula,31.05,0.874
Rallus aquaticus,115.5,1.756
Recurvirostra avosetta,306,2
Regulus regulus,5.8,0.332
Remiz pendulinus,9.15,0.45
Riparia riparia,13.15,0.342
Rissa tridactyla,418,3.65
Saxicola rubetra,16.6,0.67
Saxicola torquata,15.3,0.63
Scolopax rusticola,309.5,2.446
Serinus canaria,15.25,0.57
Serinus serinus,11.95,0.4377
Sitta europaea,23.9,0.979
Sitta neumayer,32.25,1.16
Somateria mollissima,2066.5,7.165
Somateria spectabilis,1617.5,6.5
Stercorarius parasiticus,470.3,4.03
Stercorarius pomarinus,384.5,4.725
Sterna albifrons,57.5,0.9
Sterna hirundo,125,1.778
Stema paradisaea,114.5,1.5
Stema sandvicensis,250,2.8
Streptopelia decaocto,193,1.346
Streptopelia senegalensis,101.4,1.3
Streptopelia turtur,136.5,1.265
Stumus unicolor,90.6,1.83
Stumus vulgaris,80.5,1.708
Sylvia atricapilla,18.05,0.634
Sylvia borin,19.05,0.578
Sylvia communis,14.5,0.517
Sylvia curruca,12.4,0.508
Sylvia hortensis,22.55,0.68
Sylvia melanocephala,11.75,0.52
Tachybaptus ruficollis,135,1.62
Tadorna tadorna,1152,5.546
Tetrao tetrix,1139,3.519
Tetrao urogallus,3112.5,5.772
Tichodroma muraria,16,0.46
Tringa cinereus,72,1.07
Tringa erythropus,151.5,1.8
Tringa glareola,67.5,1.2
Tringa hypoleucos,47.75,0.78
Tringa nebularia,173.5,1.81
Tringa ochropus,80,1.3
Tringa stagnatilis,72.5,1.02
Tringa totanus,129,1.352
Troglodytes troglodytes,8.9,0.466
Turdus iliacus,62.85,1.326
Turdus merula,95.85,1.935
Turdus philomelos,72.1,1.586
Turdus pilaris,105.05,1.787
Turdus torquatus,107.75,1.734
Turdus viscivorus,117.8,2.395
Upupa epops,66.2,1.05
Uria aalge,983,4.606
Uria lomvia,944.5,5.103
Vanellus vanellus,218.5,2.058
