trial,group_size,focalG,date,day1.focal.lunge,day2.focal.lunge,day2.focal.lunge,day2.at.focal.lunge,day2.time
536,8,637x517,6-Jul,0,0,0,0,0
61,0,707x765,5-Dec,0,0,0,0,0
191,0,707x765,20-Feb,0,0,0,3,0
341,0,707x765,27-Apr,0,0,0,0,0
84,0,707x765,19-Dec,0,0,0,1,12
343,0,707x765,27-Apr,0,0,0,0,180
72,2,707x765,15-Dec,0,0,0,0,0
8,2,707x765,7-Nov,0,0,0,7,NA
452,2,707x765,1-Jun,0,0,0,7,274
525,2,707x765,27-Jun,0,0,0,1,180
361,4,707x765,8-May,1,0,0,0,180
507,4,707x765,20-Jun,0,0,0,0,0
188,4,707x765,20-Feb,0,0,0,0,40
550,4,707x765,16-Feb,0,0,0,0,344
537,8,707x765,6-Jul,0,0,0,0,0
33,8,707x765,1-Dec,0,0,0,0,NA
313,8,707x765,6-Apr,0,0,0,0,0
400,8,707x765,18-May,0,0,0,0,47
455,8,707x765,5-Jun,0,0,0,0,13
489,8,707x765,12-Jun,0,0,0,0,0
19,0,732x775,17-Nov,0,0,0,2,NA
32,0,732x775,28-Nov,0,0,0,0,NA
46,0,732x775,1-Dec,0,0,0,1,NA
10,0,732x775,7-Nov,0,0,0,0,NA
21,0,732x775,17-Nov,0,0,0,0,NA
41,0,732x775,1-Dec,0,0,0,0,NA
59,0,732x775,5-Dec,0,0,0,0,178
471,0,732x775,5-Jun,0,0,0,0,0
27,2,732x775,28-Nov,0,0,0,0,NA
395,2,732x775,15-May,0,0,0,0,0
533,2,732x775,29-Jun,0,0,0,2,91
86,2,732x775,19-Dec,6,0,0,4,27
411,2,732x775,18-May,0,0,0,0,180
362,4,732x775,8-May,0,0,0,0,0
449,4,732x775,1-Jun,0,0,0,0,180
522,4,732x775,27-Jun,0,0,0,0,0
286,8,732x775,3-Apr,0,0,0,0,0
301,8,732x775,6-Apr,0,0,0,0,0
539,8,732x775,6-Jul,0,0,0,0,0
50,8,732x775,5-Dec,0,0,0,0,54
83,8,732x775,19-Dec,0,0,0,0,62
138,8,732x775,1-Feb,0,0,0,0,0
402,8,732x775,18-May,0,0,0,0,19
226,0,786x820,13-Mar,0,0,0,0,0
391,0,786x820,15-May,0,0,0,0,0
466,0,786x820,5-Jun,0,0,0,2,180
115,0,786x820,26-Jan,0,0,0,2,182
120,0,786x820,30-Jan,0,0,0,2,19
136,0,786x820,1-Feb,0,0,0,0,0
213,0,786x820,9-Mar,0,0,0,0,0
446,0,786x820,1-Jun,0,0,0,2,168
480,0,786x820,8-Jun,0,0,0,0,0
253,2,786x820,16-Mar,0,0,0,0,0
287,2,786x820,3-Apr,0,0,0,0,0
327,2,786x820,10-Apr,0,0,0,0,0
381,2,786x820,11-May,0,0,0,0,0
513,2,786x820,22-Jun,1,0,0,0,0
346,2,786x820,27-Apr,0,0,0,0,0
299,4,786x820,6-Apr,1,0,0,0,0
439,4,786x820,29-May,0,0,0,0,0
535,4,786x820,29-Jun,0,0,0,0,0
155,4,786x820,13-Feb,0,0,0,0,0
463,4,786x820,5-Jun,0,0,0,0,101
196,8,786x820,27-Feb,0,0,0,0,0
246,8,786x820,16-Mar,0,0,0,0,0
294,8,786x820,6-Apr,0,0,0,0,0
416,8,786x820,22-May,0,0,0,0,180
433,8,786x820,25-May,0,0,0,0,180
528,8,786x820,27-Jun,0,0,0,6,180
323,2,208x712,10-Apr,0,1,0,0,0
511,2,208x712,22-Jun,0,1,0,0,0
81,2,208x712,19-Dec,1,1,0,0,0
1,8,208x712,7-Nov,1,1,0,3,NA
94,2,304x862,23-Jan,0,1,0,3,142
540,2,304x862,6-Jul,0,1,0,0,0
374,4,304x862,11-May,1,1,0,0,9
273,8,304x862,23-Mar,0,1,0,0,34
506,8,306x391,20-Jun,0,1,0,4,180
200,2,315x365,27-Feb,0,1,0,2,360
211,2,315x365,9-Mar,2,1,0,0,0
148,4,315x365,9-Feb,2,1,0,0,0
307,4,315x365,6-Apr,0,1,0,1,121
499,4,315x365,19-Jun,0,1,0,0,180
372,8,357x714,11-May,6,1,0,0,0
410,8,357x714,18-May,2,1,0,0,0
502,2,360x335,20-Jun,0,1,0,0,0
82,2,360x335,19-Dec,5,1,0,3,95
63b,4,360x335,12-Dec,2,1,0,0,0
25,4,360x335,28-Nov,8,1,0,0,NA
378,4,360x335,11-May,0,1,0,0,6
304,2,375x427,6-Apr,4,1,0,0,0
112,2,375x427,26-Jan,7,1,0,1,12
335,4,375x427,24-Apr,1,1,0,1,8
262,8,375x427,20-Mar,1,1,0,0,0
357,8,375x427,8-May,0,1,0,1,9
365,8,375x427,8-May,6,1,0,0,0
526,8,375x427,27-Jun,0,1,0,1,288
413,2,437x324,18-May,1,1,0,0,0
385,4,437x324,15-May,2,1,0,0,0
508,8,437x324,22-Jun,1,1,0,0,0
514,2,486x380,22-Jun,0,1,0,0,0
530,8,486x380,29-Jun,18,1,0,0,0
450,2,637x517,1-Jun,14,1,0,0,0
34,8,637x517,1-Dec,0,1,0,0,NA
481,8,637x517,8-Jun,0,1,0,0,9
69,2,707x765,15-Dec,1,1,0,0,0
199,2,707x765,27-Feb,0,1,0,0,0
258,4,707x765,20-Mar,0,1,0,0,0
322,4,707x765,10-Apr,0,1,0,0,0
15,4,732x775,17-Nov,0,1,0,1,NA
355,4,732x775,8-May,0,1,0,0,0
551,4,732x775,12-Dec,0,1,0,0,0
5,4,732x775,7-Nov,2,1,0,0,NA
67,8,732x775,12-Dec,1,1,0,2,120
103,4,786x820,26-Jan,0,1,0,3,36
386,8,786x820,15-May,3,1,0,0,3
53,4,208x712,5-Dec,2,2,0,5,117
192,2,304x862,27-Feb,0,2,0,0,180
216,2,304x862,9-Mar,3,2,0,1,31
289,4,304x862,3-Apr,0,2,0,0,0
106,8,306x391,26-Jan,2,2,0,1,27
261,2,315x365,20-Mar,0,2,0,0,180
113,8,315x365,26-Jan,0,2,0,0,0
484,4,357x714,8-Jun,0,2,0,0,0
140,8,357x714,1-Feb,0,2,0,0,0
110,8,357x714,26-Jan,2,2,0,0,0
129,8,357x714,1-Feb,12,2,0,0,5
222,2,360x335,9-Mar,10,2,0,0,0
128,4,360x335,1-Feb,1,2,0,0,287
447,8,360x335,1-Jun,5,2,0,4,360
487,8,360x335,12-Jun,0,2,0,0,120
212,4,437x324,9-Mar,0,2,0,0,0
328,4,437x324,10-Apr,0,2,0,0,0
394,4,437x324,15-May,0,2,0,0,0
293,8,437x324,6-Apr,9,2,0,0,0
254,8,437x324,20-Mar,0,2,0,0,0
375,8,486x380,11-May,16,2,0,0,0
7,2,637x517,7-Nov,0,2,0,1,NA
544,4,637x517,6-Jul,1,2,0,0,0
137,8,637x517,1-Feb,0,2,0,0,0
510,8,637x517,22-Jun,2,2,0,0,0
57,2,707x765,5-Dec,2,2,0,2,14
47,8,707x765,5-Dec,2,2,0,1,35
3,8,707x765,7-Nov,0,2,0,0,NA
79,2,732x775,19-Dec,2,2,0,0,0
98,4,786x820,23-Jan,0,2,0,0,0
445,8,208x712,1-Jun,14,3,0,0,0
317,2,304x862,6-Apr,0,3,0,5,106
277,8,304x862,23-Mar,0,3,0,1,27
280,2,357x714,3-Apr,0,3,0,4,30
56,2,360x335,5-Dec,0,3,0,1,4
149,2,437x324,9-Feb,0,3,0,0,0
351,8,437x324,1-May,5,3,0,0,0
40,2,637x517,1-Dec,1,3,0,1,NA
49,8,637x517,5-Dec,1,3,0,1,0
425,2,732x775,22-May,1,3,0,0,0
490,2,732x775,12-Jun,1,3,0,0,0
220,2,732x775,9-Mar,0,3,0,0,0
205,4,732x775,27-Feb,0,3,0,3,68
436,4,786x820,29-May,0,3,0,0,3
145,4,306x391,1-Feb,1,4,0,0,0
203,4,306x391,27-Feb,7,4,0,0,180
194,8,306x391,27-Feb,1,4,0,0,0
240,4,315x365,16-Mar,4,4,0,0,0
13,8,707x765,17-Nov,0,4,0,1,NA
55,2,732x775,5-Dec,0,4,0,0,90
325,2,732x775,10-Apr,0,4,0,0,0
186,2,786x820,20-Feb,1,4,0,0,0
93,4,786x820,23-Jan,0,4,0,0,0
269,8,786x820,23-Mar,0,4,0,0,0
494,8,786x820,15-Jun,0,4,0,0,0
18,2,208x712,17-Nov,4,5,0,6,NA
209,2,306x391,6-Mar,0,5,0,1,0
231,2,357x714,13-Mar,1,5,0,2,180
107,4,375x427,26-Jan,0,5,0,0,0
334,4,637x517,24-Apr,1,5,0,0,0
241,2,304x862,16-Mar,2,6,0,0,180
70,4,360x335,15-Dec,4,7,0,0,0
227,8,437x324,13-Mar,10,7,0,1,0
218,2,486x380,9-Mar,26,7,0,0,0
54,4,637x517,5-Dec,0,7,0,0,0
52,4,707x765,5-Dec,0,7,0,0,0
189,8,306x391,20-Feb,0,8,0,0,0
238,4,732x775,13-Mar,1,9,0,0,0
422,4,786x820,22-May,2,9,0,0,0
271,2,315x365,23-Mar,0,11,0,0,50
206,2,208x712,27-Feb,0,0,1,0,180
114,4,208x712,26-Jan,0,0,1,0,209
100,0,304x862,23-Jan,0,0,1,0,0
303,4,304x862,6-Apr,0,0,1,2,149
404,8,304x862,18-May,0,0,1,0,180
340,0,306x391,27-Apr,0,0,1,0,0
441,4,306x391,29-May,1,0,1,0,0
417,0,315x365,22-May,0,0,1,0,266
405,2,315x365,18-May,0,0,1,4,360
453,4,357x714,5-Jun,0,0,1,1,360
517,4,357x714,22-Jun,1,0,1,0,180
97,8,357x714,23-Jan,0,0,1,2,68
182,8,360x335,20-Feb,0,0,1,0,0
78,8,360x335,19-Dec,4,0,1,1,15
147,0,375x427,9-Feb,0,0,1,0,7
89,2,375x427,23-Jan,0,0,1,3,0
459,8,375x427,5-Jun,0,0,1,0,180
347,4,437x324,27-Apr,2,0,1,0,24
210,2,486x380,9-Mar,2,0,1,0,30
151,2,486x380,9-Feb,8,0,1,0,23
292,4,486x380,3-Apr,0,0,1,0,8
141,8,486x380,1-Feb,0,0,1,5,180
319,0,637x517,10-Apr,0,0,1,2,205
376,0,637x517,11-May,0,0,1,0,0
310,2,637x517,6-Apr,0,0,1,0,0
80,4,637x517,19-Dec,4,0,1,0,180
470,0,707x765,5-Jun,0,0,1,0,162
65,2,707x765,12-Dec,1,0,1,0,0
284,4,707x765,3-Apr,0,0,1,3,180
356,4,707x765,8-May,0,0,1,1,0
23,8,707x765,28-Nov,0,0,1,0,NA
438,0,732x775,29-May,0,0,1,0,180
134,2,306x391,1-Feb,0,1,1,8,144
498,4,360x335,15-Jun,3,1,1,0,0
154,8,375x427,13-Feb,0,1,1,0,0
133,8,437x324,1-Feb,1,1,1,0,19
92,8,486x380,23-Jan,1,2,1,0,54
14,4,208x712,17-Nov,0,3,1,0,NA
348,4,360x335,27-Apr,1,5,1,0,0
268,0,304x862,23-Mar,0,0,2,0,0
331,0,304x862,10-Apr,0,0,2,0,93
91,0,306x391,23-Jan,0,0,2,1,27
474,0,315x365,5-Jun,0,0,2,4,360
390,4,315x365,15-May,0,0,2,0,46
406,4,315x365,18-May,0,0,2,4,360
308,2,357x714,6-Apr,0,0,2,0,146
460,0,360x335,5-Jun,0,0,2,0,42
329,2,360x335,10-Apr,0,0,2,0,21
529,4,360x335,27-Jun,1,0,2,0,0
465,4,375x427,5-Jun,0,0,2,0,96
524,8,375x427,27-Jun,1,0,2,0,15
477,0,437x324,5-Jun,0,0,2,0,219
515,4,437x324,22-Jun,0,0,2,0,88
105,0,486x380,26-Jan,0,0,2,0,51
389,0,486x380,15-May,0,0,2,0,20
339,4,486x380,24-Apr,0,0,2,0,0
493,4,486x380,14-Jun,3,0,2,0,36
29,2,637x517,28-Nov,5,0,2,0,NA
488,2,637x517,12-Jun,0,0,2,0,9
500,4,637x517,19-Jun,0,0,2,0,45
468,0,707x765,5-Jun,0,0,2,0,12
28,2,707x765,28-Nov,0,0,2,0,NA
457,8,732x775,5-Jun,0,0,2,0,20
245,2,786x820,16-Mar,0,0,2,0,23
364,2,306x391,8-May,0,1,2,0,11
326,4,375x427,10-Apr,0,1,2,5,126
132,8,437x324,1-Feb,2,1,2,1,166
159,4,306x391,16-Feb,0,2,2,4,74
382,4,707x765,11-May,0,2,2,0,34
36,4,732x775,1-Dec,0,2,2,0,NA
108,2,357x714,26-Jan,0,3,2,0,212
461,4,360x335,5-Jun,3,3,2,7,180
42,0,208x712,1-Dec,0,0,3,0,NA
87,8,357x714,23-Jan,1,0,3,0,15
9,0,360x335,7-Nov,0,0,3,0,NA
37,2,360x335,1-Dec,1,0,3,0,NA
239,0,437x324,13-Mar,0,0,3,0,146
68,0,637x517,15-Dec,0,0,3,0,20
233,0,707x765,13-Mar,0,0,3,0,118
414,4,375x427,22-May,0,3,3,0,40
76,4,208x712,19-Dec,0,0,4,2,212
207,4,304x862,6-Mar,0,0,4,0,137
427,2,306x391,25-May,0,0,4,1,36
492,2,315x365,14-Jun,4,0,4,0,27
215,0,357x714,9-Mar,0,0,4,0,10
285,2,357x714,3-Apr,2,0,4,1,137
63,0,360x335,5-Dec,0,0,4,0,10
424,2,360x335,22-May,0,0,4,0,30
367,8,360x335,8-May,0,0,4,1,48
476,0,375x427,5-Jun,0,0,4,0,94
267,2,437x324,23-Mar,3,0,4,0,43
160,2,486x380,16-Feb,1,0,4,0,20
234,4,486x380,13-Mar,0,0,4,0,16
275,4,486x380,23-Mar,31,0,4,0,21
430,0,732x775,25-May,0,0,4,0,51
265,2,786x820,20-Mar,1,0,4,4,180
152,4,486x380,13-Feb,2,1,4,0,101
501,8,732x775,19-Jun,0,1,4,0,9
250,8,208x712,16-Mar,0,2,4,0,180
333,2,306x391,24-Apr,0,3,4,1,180
392,4,306x391,15-May,0,0,5,0,273
330,8,375x427,10-Apr,0,0,5,0,28
130,0,486x380,1-Feb,0,0,5,0,62
306,0,786x820,6-Apr,0,0,5,0,163
541,8,306x391,6-Jul,0,0,6,0,11
305,8,357x714,6-Apr,0,0,6,0,36
495,8,486x380,15-Jun,2,0,6,0,6
158,8,786x820,13-Feb,1,0,6,0,73
435,4,306x391,29-May,0,1,7,0,180
546,4,486x380,10-Jul,1,1,7,0,48
401,0,486x380,18-May,0,0,8,0,0
523,2,637x517,27-Jun,0,0,9,1,103
412,8,306x391,18-May,1,0,11,0,16
315,4,437x324,6-Apr,0,1,12,0,92
180,0,208x712,20-Feb,0,0,NA,NA,NA
